date,ndvi
05-01-2015,0.445999521
06-01-2015,0.442658005
07-01-2015,0.439316489
08-01-2015,0.435974973
09-01-2015,0.432633456
10-01-2015,0.42929194
11-01-2015,0.425950424
12-01-2015,0.422608908
13-01-2015,0.419267391
14-01-2015,0.415925875
15-01-2015,0.412584359
16-01-2015,0.409242843
17-01-2015,0.405901326
18-01-2015,0.40255981
19-01-2015,0.399218294
20-01-2015,0.395876778
21-01-2015,0.392535261
22-01-2015,0.389193745
23-01-2015,0.385852229
24-01-2015,0.382510713
25-01-2015,0.379169196
26-01-2015,0.37582768
27-01-2015,0.372486164
28-01-2015,0.369144647
29-01-2015,0.365803131
30-01-2015,0.362461615
31-01-2015,0.359120099
01-02-2015,0.355778582
02-02-2015,0.352437066
03-02-2015,0.351791299
04-02-2015,0.351145532
05-02-2015,0.350499765
06-02-2015,0.349853998
07-02-2015,0.349208231
08-02-2015,0.348562463
09-02-2015,0.347916696
10-02-2015,0.347270929
11-02-2015,0.346625162
12-02-2015,0.345979395
13-02-2015,0.345333628
14-02-2015,0.344687861
15-02-2015,0.344042093
16-02-2015,0.343396326
17-02-2015,0.342750559
18-02-2015,0.342104792
19-02-2015,0.341459025
20-02-2015,0.340813258
21-02-2015,0.340167491
22-02-2015,0.339521724
23-02-2015,0.338875956
24-02-2015,0.338230189
25-02-2015,0.337584422
26-02-2015,0.336938655
27-02-2015,0.336292888
28-02-2015,0.335647121
01-03-2015,0.335001354
02-03-2015,0.334355587
03-03-2015,0.333709819
04-03-2015,0.333064052
05-03-2015,0.332418285
06-03-2015,0.331772518
07-03-2015,0.331580144
08-03-2015,0.33138777
09-03-2015,0.331195397
10-03-2015,0.331003023
11-03-2015,0.330810649
12-03-2015,0.330618275
13-03-2015,0.330425901
14-03-2015,0.330233528
15-03-2015,0.330041154
16-03-2015,0.32984878
17-03-2015,0.329656406
18-03-2015,0.329464032
19-03-2015,0.329271659
20-03-2015,0.329079285
21-03-2015,0.328886911
22-03-2015,0.328694537
23-03-2015,0.326754499
24-03-2015,0.32481446
